scenario,value,policy,n_seed,p_c6_viol_mean,p_c6_viol_std,p_c7_viol_mean,p_c7_viol_std,p_c8_viol_mean,p_c8_viol_std
user_num,20.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Stand-alone MEC,2,0.2,0.0,0.2,0.0,0.0,0.0
user_num,30.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,Random,2,0.31666666666666665,0.016666666666666663,0.08333333333333334,0.01666666666666667,0.0,0.0
user_num,30.0,Stand-alone MEC,2,0.6,0.0,0.6,0.0,0.6,0.0
user_num,35.0,Full,2,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.0
user_num,35.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,35.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,35.0,No-EVT,2,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.0
user_num,35.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,35.0,Random,2,0.6,0.0,0.2857142857142857,0.02857142857142858,0.2,0.0
user_num,35.0,Stand-alone MEC,2,0.6,0.0,0.6,0.0,0.6,0.0
user_num,40.0,Full,2,0.15,0.024999999999999994,0.05,0.0,0.025,0.0
user_num,40.0,IQL,2,0.025,0.025,0.025,0.025,0.025,0.025
user_num,40.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,40.0,No-EVT,2,0.15,0.024999999999999994,0.05,0.0,0.0125,0.0125
user_num,40.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,40.0,Random,2,0.6,0.0,0.575,0.024999999999999967,0.35,0.024999999999999994
user_num,40.0,Stand-alone MEC,2,1.0,0.0,0.6,0.0,0.6,0.0
