scenario,value,ablation,n_seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,p_c6_viol_mean,p_c6_viol_std,p_c7_viol_mean,p_c7_viol_std,p_c8_viol_mean,p_c8_viol_std,mean_overflow_prob_mean,mean_overflow_prob_std,mean_m1_excess_cond_mean,mean_m1_excess_cond_std,mean_m2_excess_cond_mean,mean_m2_excess_cond_std,mean_offload_ratio_mean,mean_offload_ratio_std,action_0_ratio_mean,action_0_ratio_std,action_1_ratio_mean,action_1_ratio_std,action_2_ratio_mean,action_2_ratio_std,action_3_ratio_mean,action_3_ratio_std,action_4_ratio_mean,action_4_ratio_std,action_5_ratio_mean,action_5_ratio_std,action_6_ratio_mean,action_6_ratio_std,action_7_ratio_mean,action_7_ratio_std,total_energy_mean,total_energy_std,avg_energy_per_slot_user_mean,avg_energy_per_slot_user_std,lyap_constraint_weight,lyap_energy_weight,lyap_constraint_scale,lyap_energy_scale,wolf_epsilon,episodes,warmup_ratio
load_scale,2.0,-GPD,2,15,2.0,1.0,1.0,1.0,1.0,0.0,0.9666666666666667,0.033333333333333326,0.9,0.033333333333333326,0.9646666666666668,0.013111111111111129,24443221.32402823,532695.4517158847,817669953971842.1,54163456452222.625,0.2108888888888886,0.006888888888888917,0.7333333333333334,0.00888888888888889,0.018444444444444444,0.0011111111111111113,0.019333333333333334,0.0002222222222222226,0.018000000000000002,0.0006666666666666678,0.06244444444444444,0.004666666666666666,0.04444444444444444,0.015555555555555555,0.050444444444444445,0.010000000000000002,0.05355555555555555,0.006000000000000002,28.59474289247062,0.7717756966263476,0.012708774618875832,0.000343011420722821,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,2.0,-Lyapunov,2,15,2.0,1.0,1.0,1.0,1.0,0.0,0.9,0.033333333333333326,0.7666666666666666,0.03333333333333338,0.9646666666666668,0.013111111111111129,18771076.77338227,742565.8373524323,498928222862453.1,49871208549797.69,0.14555555555555538,0.007333333333333317,0.7491111111111111,0.005555555555555591,0.03822222222222222,0.0013333333333333322,0.034888888888888886,0.002444444444444447,0.03222222222222222,0.0006666666666666661,0.03266666666666666,0.003777777777777779,0.04133333333333333,0.010222222222222223,0.03955555555555555,0.008444444444444445,0.032,0.0017777777777777757,18.087038204955853,0.18392899201577073,0.008038683646647046,8.174621867367612e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,2.0,-Priority,2,15,2.0,1.0,1.0,1.0,0.9333333333333333,0.06666666666666665,0.9,0.09999999999999998,0.8666666666666667,0.06666666666666665,0.9046666666666667,0.066,24035367.931982998,260976.2395071797,811501879983500.5,71168949559967.88,0.1977777777777775,0.003111111111111106,0.7404444444444445,0.00311111111111112,0.023555555555555555,0.003555555555555555,0.019999999999999997,0.0008888888888888887,0.018222222222222223,0.0017777777777777774,0.04911111111111111,0.006888888888888889,0.04,0.015555555555555553,0.050888888888888886,0.010888888888888889,0.057777777777777775,0.000888888888888887,7.542349983492814,0.20273876455631612,0.0033521555482190282,9.010611758058478e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,2.0,Random,2,15,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9966666666666667,0.0033333333333332993,51380209.58824291,425757.5958581418,3326205964831812.0,4220456519899.75,0.5053333333333336,0.001777777777777878,0.1228888888888889,0.004666666666666666,0.122,0.0011111111111111113,0.12466666666666668,0.0028888888888888922,0.12511111111111112,0.0011111111111111183,0.12155555555555556,0.0028888888888888853,0.13666666666666666,0.00866666666666667,0.12333333333333332,0.001555555555555553,0.12377777777777778,0.008222222222222228,116.82773987603929,4.9229205104564855,0.05192343994490635,0.0021879646713139946,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.4,Full,2,15,1.0,1.0,0.4,1.0,0.2,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.058,0.0037777777777777827,529524.485709693,164355.14146870223,4538873537458.065,3383253106606.206,0.15044444444444427,0.0082222222222222,0.7448888888888889,0.006222222222222185,0.03777777777777778,0.00044444444444444176,0.034666666666666665,0.0022222222222222227,0.03222222222222222,0.00022222222222222088,0.034444444444444444,0.003333333333333334,0.045111111111111116,0.012222222222222221,0.03955555555555555,0.009777777777777778,0.03133333333333333,0.0024444444444444435,5.581440679136457,0.05401082490370612,0.0024806403018384254,2.4004811068313852e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.4,-VQ,2,15,1.0,1.0,0.4,1.0,0.2,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.058,0.0037777777777777827,390862.4237438444,94282.54168191858,2037593450183.3735,1397712921849.9243,0.1457777777777776,0.007111111111111096,0.7488888888888889,0.005333333333333357,0.03844444444444445,0.0011111111111111079,0.034888888888888886,0.002444444444444447,0.032,0.00044444444444444176,0.03333333333333333,0.0031111111111111114,0.04111111111111111,0.010444444444444445,0.04,0.00888888888888889,0.03133333333333333,0.0024444444444444435,5.506422292587821,0.05837086605362707,0.0024472987967056985,2.5942607134945336e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.4,-GPD,2,15,1.0,1.0,0.4,1.0,0.2,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.058,0.0037777777777777827,529524.485709693,164355.14146870223,4538873537458.065,3383253106606.206,0.15044444444444427,0.0082222222222222,0.7448888888888889,0.006222222222222185,0.03777777777777778,0.00044444444444444176,0.034666666666666665,0.0022222222222222227,0.03222222222222222,0.00022222222222222088,0.034444444444444444,0.003333333333333334,0.045111111111111116,0.012222222222222221,0.03955555555555555,0.009777777777777778,0.03133333333333333,0.0024444444444444435,5.581440679136457,0.05401082490370612,0.0024806403018384254,2.4004811068313852e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.4,-Lyapunov,2,15,1.0,1.0,0.4,1.0,0.2,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.058,0.0037777777777777827,390862.4237438444,94282.54168191858,2037593450183.3735,1397712921849.9243,0.1457777777777776,0.007111111111111096,0.7488888888888889,0.005333333333333357,0.03844444444444445,0.0011111111111111079,0.034888888888888886,0.002444444444444447,0.032,0.00044444444444444176,0.03333333333333333,0.0031111111111111114,0.04111111111111111,0.010444444444444445,0.04,0.00888888888888889,0.03133333333333333,0.0024444444444444435,5.506422292587821,0.05837086605362707,0.0024472987967056985,2.5942607134945336e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.4,-Priority,2,15,1.0,1.0,0.4,1.0,0.2,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.05822222222222223,0.0035555555555555583,647855.0430954779,2577.7395047430764,5151453397968.691,1711924448517.8691,0.15177777777777757,0.0037777777777777827,0.7422222222222222,0.003555555555555534,0.03911111111111111,0.0022222222222222227,0.034666666666666665,0.002666666666666668,0.03222222222222222,0.00022222222222222088,0.03533333333333333,0.0006666666666666661,0.04577777777777778,0.012,0.04044444444444444,0.010222222222222221,0.030222222222222223,0.0013333333333333357,1.0084237365870328,0.0032843174468288883,0.00044818832737201456,1.4596966430350752e-06,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.4,Random,2,15,1.0,1.0,0.4,1.0,0.9666666666666667,0.033333333333333326,0.6333333333333333,0.033333333333333326,0.6,0.0,0.6213333333333333,0.02533333333333332,10849082.514550019,103700.62584417965,208679638960379.2,8171666603230.1875,0.5053333333333336,0.001777777777777878,0.1228888888888889,0.004666666666666666,0.122,0.0011111111111111113,0.12466666666666668,0.0028888888888888922,0.12511111111111112,0.0011111111111111183,0.12155555555555556,0.0028888888888888853,0.13666666666666666,0.00866666666666667,0.12333333333333332,0.001555555555555553,0.12377777777777778,0.008222222222222228,46.24702968235355,2.377474824892566,0.020554235414379354,0.0010566554777300292,20.0,1.0,1e+24,1e+25,0.1,300,0.5
