scenario,value,ablation,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,p_c6_viol,p_c7_viol,p_c8_viol,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,lyap_constraint_weight,lyap_energy_weight,lyap_constraint_scale,lyap_energy_scale,wolf_epsilon,episodes,warmup_ratio
f_scale,0.6,Full,1,15,1.0,1.0,0.6,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,332631.6380400568,934948634075.9469,0.14088888888888873,6.511408503277757,0.0028939593347901142,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.6,-VQ,1,15,1.0,1.0,0.6,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,291206.12133849936,623355993354.2555,0.13822222222222205,6.414538652715259,0.0028509060678734485,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.6,-GPD,1,15,1.0,1.0,0.6,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,332631.6380400568,934948634075.9469,0.14088888888888873,6.511408503277757,0.0028939593347901142,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.6,-Lyapunov,1,15,1.0,1.0,0.6,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,291206.12133849936,623355993354.2555,0.13822222222222205,6.414538652715259,0.0028509060678734485,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.6,-Priority,1,15,1.0,1.0,0.6,1.0,0.26666666666666666,0.06666666666666667,0.0,0.07288888888888888,706582.5519834379,4440833865781.367,0.14711111111111091,1.4080192026010663,0.0006257863122671406,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.6,Random,1,15,1.0,1.0,0.6,1.0,1.0,0.6666666666666666,0.6,0.6462222222222223,10729655.038572382,200176846415907.97,0.5035555555555558,51.553317617008474,0.02291258560755932,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.8,Full,1,15,1.0,1.0,0.8,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,327224.6297973982,915657155743.1783,0.14088888888888873,7.773021496117855,0.0034546762204968246,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.8,-VQ,1,15,1.0,1.0,0.8,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,285832.36061507475,607195888983.7104,0.13822222222222205,7.611438550864878,0.003382861578162168,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.8,-GPD,1,15,1.0,1.0,0.8,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,327224.6297973982,915657155743.1783,0.14088888888888873,7.773021496117855,0.0034546762204968246,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.8,-Lyapunov,1,15,1.0,1.0,0.8,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,285832.36061507475,607195888983.7104,0.13822222222222205,7.611438550864878,0.003382861578162168,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.8,-Priority,1,15,1.0,1.0,0.8,1.0,0.26666666666666666,0.06666666666666667,0.0,0.0791111111111111,711882.3461013711,4429416497156.14,0.1479999999999998,1.9969279563057467,0.0008875235361358874,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.8,Random,1,15,1.0,1.0,0.8,1.0,1.0,0.6666666666666666,0.6,0.6457777777777778,10712769.992590737,199804381326125.94,0.5035555555555558,55.65365597067571,0.024734958209189202,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,1.0,Full,1,15,1.0,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,321817.6215547234,896735242278.6194,0.14088888888888873,9.395095344055129,0.004175597930691169,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,1.0,-VQ,1,15,1.0,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,280458.5998916341,591400215221.8533,0.13822222222222205,9.15030984848582,0.0040668043771048094,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,1.0,-GPD,1,15,1.0,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,321817.6215547234,896735242278.6194,0.14088888888888873,9.395095344055129,0.004175597930691169,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,1.0,-Lyapunov,1,15,1.0,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,280458.5998916341,591400215221.8533,0.13822222222222205,9.15030984848582,0.0040668043771048094,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,1.0,-Priority,1,15,1.0,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.06088888888888889,616328.4873810876,3189910027540.741,0.14844444444444424,2.7475415014294104,0.001221129556190849,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,1.0,Random,1,15,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6,0.6457777777777778,10689407.42543404,199339826133466.8,0.5035555555555558,60.92551956824792,0.027078008696999077,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,1.2,Full,1,15,1.0,1.0,1.2,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,316410.6133120669,878182893682.2888,0.14088888888888873,11.37763004708957,0.005056724465373142,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,1.2,-VQ,1,15,1.0,1.0,1.2,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,275084.8391682113,575968972068.704,0.13822222222222205,11.03115254557808,0.004902734464701368,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,1.2,-GPD,1,15,1.0,1.0,1.2,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,316410.6133120669,878182893682.2888,0.14088888888888873,11.37763004708957,0.005056724465373142,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,1.2,-Lyapunov,1,15,1.0,1.0,1.2,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,275084.8391682113,575968972068.704,0.13822222222222205,11.03115254557808,0.004902734464701368,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,1.2,-Priority,1,15,1.0,1.0,1.2,1.0,0.26666666666666666,0.06666666666666667,0.0,0.0791111111111111,681889.8941068755,4303203223767.249,0.14755555555555536,3.632412485147815,0.0016144055489545844,20.0,1.0,1e+24,1e+25,0.1,300,0.5
