scenario,value,ablation,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,p_c6_viol,p_c7_viol,p_c8_viol,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio,total_energy,avg_energy_per_slot_user,lyap_constraint_weight,lyap_energy_weight,lyap_constraint_scale,lyap_energy_scale,wolf_epsilon,episodes,warmup_ratio
load_scale,0.5,-Priority,1,15,0.5,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.08833333333333333,785624.7661321568,4059852196686.526,0.0581111111111111,0.9016666666666666,0.013666666666666667,0.014555555555555556,0.012,0.016,0.015555555555555555,0.013666666666666667,0.012888888888888889,2.0277336823562404,0.0002253037424840267,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,-Priority,2,15,0.5,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.08411111111111111,562240.506910337,1990291335992.9265,0.05666666666666658,0.9075555555555556,0.011444444444444445,0.01211111111111111,0.012222222222222223,0.011333333333333334,0.011888888888888888,0.014777777777777779,0.018666666666666668,2.124594376731225,0.000236066041859025,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,-Priority,3,15,0.5,1.0,1.0,1.0,0.06666666666666667,0.0,0.0,0.01,86604.22431471125,182415183908.42218,0.05233333333333319,0.9122222222222223,0.011555555555555555,0.011555555555555555,0.012333333333333333,0.011777777777777778,0.014666666666666666,0.014,0.011888888888888888,1.667569860225871,0.00018528554002509678,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,-Priority,4,15,0.5,1.0,1.0,1.0,0.26666666666666666,0.06666666666666667,0.0,0.11333333333333333,871730.7052759081,5818480551072.802,0.05722222222222215,0.9025555555555556,0.012333333333333333,0.013222222222222222,0.014666666666666666,0.014666666666666666,0.013555555555555555,0.013666666666666667,0.015333333333333332,1.9312958902314732,0.00021458843224794147,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,-Priority,5,15,0.5,1.0,1.0,1.0,0.2,0.0,0.0,0.05011111111111111,535381.8815883301,2512295766399.1113,0.051555555555555424,0.91,0.01211111111111111,0.013111111111111112,0.013222222222222222,0.013777777777777778,0.013555555555555555,0.012777777777777779,0.011444444444444445,1.705837798711002,0.00018953753319011135,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,Random,1,15,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130596009.59591304,1.838205571710757e+16,0.48811111111111083,0.12711111111111112,0.12688888888888888,0.13077777777777777,0.12711111111111112,0.118,0.1272222222222222,0.12155555555555556,0.12133333333333333,108.67759810067746,0.012075288677853051,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,Random,2,15,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,132086958.75157659,1.8837858594174404e+16,0.49900000000000005,0.125,0.12611111111111112,0.12011111111111111,0.12977777777777777,0.12833333333333333,0.1272222222222222,0.12233333333333334,0.12111111111111111,114.60570800241778,0.012733967555824198,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,Random,3,15,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,129473220.68005191,1.80746179841081e+16,0.499444444444444,0.12255555555555556,0.1302222222222222,0.12533333333333332,0.12244444444444444,0.12088888888888889,0.12522222222222223,0.12644444444444444,0.12688888888888888,118.37485010054785,0.013152761122283094,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,Random,4,15,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,132941958.5374702,1.9071486790589844e+16,0.5036666666666672,0.123,0.123,0.12488888888888888,0.12544444444444444,0.12544444444444444,0.1292222222222222,0.127,0.122,117.49166658216119,0.013054629620240132,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,Random,5,15,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,133369224.04133764,1.9161972021335668e+16,0.5054444444444438,0.12522222222222223,0.11966666666666667,0.12644444444444444,0.12322222222222222,0.1218888888888889,0.132,0.12933333333333333,0.12222222222222222,113.08809769902814,0.012565344188780905,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
